iter	Passed	Remaining
0	157	157623
1	158	79250
2	159	53080
3	160	39986
4	161	32113
5	163	27020
6	164	23330
7	165	20527
8	166	18332
9	167	16596
10	168	15152
11	169	13944
12	170	12911
13	170	12033
14	171	11267
15	172	10625
16	173	10057
17	174	9539
18	175	9065
19	176	8641
20	177	8256
21	177	7904
22	178	7598
23	180	7324
24	181	7077
25	182	6826
26	182	6590
27	183	6372
28	184	6168
29	184	5979
30	185	5802
31	186	5655
32	187	5506
33	188	5360
34	189	5223
35	190	5092
36	190	4968
37	191	4850
38	192	4737
39	193	4635
40	194	4547
41	195	4455
42	196	4365
43	196	4277
44	197	4193
45	198	4113
46	198	4034
47	199	3964
48	200	3900
49	201	3832
50	202	3767
51	203	3704
52	203	3642
53	204	3582
54	205	3525
55	205	3471
56	206	3419
57	207	3373
58	208	3329
59	209	3281
60	210	3234
61	210	3189
62	211	3145
63	212	3103
64	212	3061
65	213	3021
66	214	2985
67	214	2946
68	215	2910
69	216	2875
70	217	2840
71	217	2807
72	218	2774
73	219	2742
74	219	2710
75	220	2680
76	221	2656
77	222	2630
78	223	2604
79	224	2576
80	224	2549
81	225	2523
82	226	2497
83	226	2472
84	227	2445
85	227	2422
86	228	2399
87	229	2378
88	230	2357
89	231	2335
90	231	2314
91	232	2293
92	233	2273
93	233	2253
94	234	2232
95	235	2214
96	236	2198
97	237	2181
98	238	2167
99	238	2149
100	239	2132
101	239	2111
102	240	2094
103	241	2077
104	241	2061
105	242	2045
106	243	2031
107	244	2017
108	244	2002
109	245	1987
110	246	1972
111	246	1957
112	247	1943
113	248	1930
114	249	1916
115	250	1909
116	252	1902
117	252	1889
118	253	1876
119	254	1864
120	255	1853
121	255	1841
122	256	1828
123	257	1816
124	257	1805
125	258	1794
126	259	1783
127	260	1771
128	260	1760
129	261	1750
130	262	1740
131	263	1730
132	263	1719
133	264	1709
134	265	1700
135	266	1693
136	267	1684
137	267	1674
138	268	1665
139	269	1655
140	270	1647
141	271	1638
142	271	1629
143	272	1621
144	273	1613
145	274	1605
146	275	1597
147	275	1588
148	276	1580
149	277	1572
150	278	1564
151	279	1556
152	279	1549
153	280	1542
154	281	1535
155	282	1528
156	283	1521
157	284	1513
158	284	1506
159	285	1499
160	286	1493
161	287	1486
162	288	1480
163	289	1473
164	289	1467
165	290	1460
166	291	1454
167	292	1447
168	293	1441
169	293	1434
170	294	1428
171	295	1422
172	296	1416
173	297	1411
174	298	1405
175	298	1399
176	299	1393
177	300	1388
178	301	1382
179	302	1379
180	303	1373
181	304	1368
182	305	1364
183	306	1360
184	307	1355
185	308	1350
186	309	1345
187	310	1340
188	311	1336
189	312	1331
190	313	1326
191	314	1321
192	314	1316
193	315	1311
194	316	1307
195	317	1302
196	318	1297
197	319	1292
198	319	1287
199	320	1282
200	321	1277
201	322	1273
202	323	1268
203	323	1263
204	324	1259
205	325	1254
206	326	1250
207	327	1245
208	328	1241
209	329	1237
210	329	1233
211	330	1230
212	331	1226
213	332	1222
214	333	1218
215	334	1214
216	335	1210
217	336	1207
218	337	1203
219	338	1200
220	339	1197
221	340	1193
222	341	1189
223	342	1185
224	343	1182
225	344	1178
226	344	1174
227	345	1170
228	346	1166
229	347	1162
230	348	1158
231	348	1155
232	349	1151
233	350	1147
234	351	1143
235	352	1140
236	353	1137
237	354	1133
238	354	1130
239	355	1126
240	356	1122
241	357	1119
242	358	1115
243	358	1111
244	359	1108
245	360	1105
246	361	1102
247	362	1099
248	363	1095
249	364	1092
250	364	1088
251	365	1085
252	366	1081
253	367	1078
254	368	1076
255	369	1073
256	370	1070
257	371	1067
258	371	1064
259	372	1060
260	373	1057
261	374	1055
262	375	1052
263	376	1049
264	377	1046
265	378	1043
266	378	1039
267	379	1036
268	380	1033
269	380	1029
270	381	1026
271	382	1024
272	383	1021
273	384	1018
274	385	1015
275	386	1012
276	386	1009
277	387	1006
278	389	1005
279	390	1003
280	391	1000
281	391	997
282	392	995
283	393	992
284	394	989
285	395	986
286	396	984
287	397	981
288	397	978
289	398	976
290	399	973
291	400	971
292	401	968
293	402	965
294	402	962
295	403	960
296	404	958
297	405	955
298	406	953
299	407	950
300	408	948
301	409	945
302	409	942
303	410	940
304	411	938
305	412	936
306	413	934
307	414	931
308	415	929
309	416	926
310	416	923
311	418	921
312	419	919
313	419	917
314	420	914
315	421	912
316	422	909
317	423	907
318	423	904
319	424	902
320	425	899
321	426	897
322	426	894
323	427	892
324	428	889
325	429	887
326	430	885
327	431	883
328	432	881
329	432	879
330	433	876
331	434	874
332	435	872
333	436	870
334	437	867
335	438	865
336	438	863
337	439	861
338	440	859
339	441	856
340	442	854
341	442	852
342	443	849
343	444	847
344	445	845
345	445	843
346	446	840
347	447	838
348	448	836
349	449	833
350	449	831
351	450	829
352	451	827
353	452	825
354	452	823
355	453	820
356	454	818
357	455	816
358	456	814
359	456	812
360	457	809
361	458	807
362	459	805
363	459	803
364	460	801
365	461	799
366	462	796
367	462	794
368	463	792
369	464	790
370	465	788
371	465	786
372	466	784
373	467	782
374	468	780
375	469	778
376	469	776
377	470	774
378	471	772
379	472	770
380	472	768
381	473	765
